{'loss': 1.3204, 'learning_rate': 5.2402161547212745e-05, 'epoch': 18.99}
{'loss': 1.2982, 'learning_rate': 5.2002275312855516e-05, 'epoch': 19.99}
{'loss': 1.2772, 'learning_rate': 5.160238907849829e-05, 'epoch': 20.99}
{'loss': 1.2553, 'learning_rate': 5.120250284414107e-05, 'epoch': 21.99}
{'loss': 1.2361, 'learning_rate': 5.080261660978385e-05, 'epoch': 22.99}
{'loss': 1.2205, 'learning_rate': 5.0402730375426625e-05, 'epoch': 23.99}
{'loss': 1.2033, 'learning_rate': 5.00028441410694e-05, 'epoch': 24.99}
{'loss': 1.185, 'learning_rate': 4.960295790671217e-05, 'epoch': 25.99}
{'loss': 1.1686, 'learning_rate': 4.920307167235495e-05, 'epoch': 26.99}
{'loss': 1.1567, 'learning_rate': 4.880318543799773e-05, 'epoch': 27.99}
{'loss': 1.1402, 'learning_rate': 4.8403299203640505e-05, 'epoch': 28.99}
{'loss': 1.1294, 'learning_rate': 4.800341296928328e-05, 'epoch': 29.99}
{'loss': 1.1129, 'learning_rate': 4.760352673492605e-05, 'epoch': 30.99}
{'loss': 1.0994, 'learning_rate': 4.720364050056883e-05, 'epoch': 31.99}
{'loss': 1.0837, 'learning_rate': 4.680375426621161e-05, 'epoch': 32.99}
{'loss': 1.0729, 'learning_rate': 4.640386803185438e-05, 'epoch': 33.99}
{'loss': 1.0601, 'learning_rate': 4.6003981797497156e-05, 'epoch': 34.99}
{'loss': 1.0455, 'learning_rate': 4.5604095563139933e-05, 'epoch': 35.99}
{'loss': 1.0347, 'learning_rate': 4.5204209328782704e-05, 'epoch': 36.99}
{'loss': 1.0236, 'learning_rate': 4.480432309442548e-05, 'epoch': 37.99}
{'loss': 1.0124, 'learning_rate': 4.440443686006826e-05, 'epoch': 38.99}
{'loss': 0.9997, 'learning_rate': 4.4004550625711036e-05, 'epoch': 39.99}
{'loss': 0.9949, 'learning_rate': 4.3604664391353814e-05, 'epoch': 40.99}
{'loss': 0.9793, 'learning_rate': 4.3204778156996584e-05, 'epoch': 41.99}
{'loss': 0.9679, 'learning_rate': 4.280489192263936e-05, 'epoch': 42.99}
{'loss': 0.963, 'learning_rate': 4.240500568828214e-05, 'epoch': 43.99}
{'loss': 0.9507, 'learning_rate': 4.2005119453924916e-05, 'epoch': 44.99}
{'loss': 0.9429, 'learning_rate': 4.1605233219567694e-05, 'epoch': 45.99}
{'loss': 0.931, 'learning_rate': 4.120534698521047e-05, 'epoch': 46.99}
{'loss': 0.9216, 'learning_rate': 4.080546075085324e-05, 'epoch': 47.99}
{'loss': 0.9121, 'learning_rate': 4.040557451649602e-05, 'epoch': 48.99}
{'loss': 0.9057, 'learning_rate': 4.00056882821388e-05, 'epoch': 49.99}
{'loss': 0.8926, 'learning_rate': 3.9605802047781574e-05, 'epoch': 50.99}
{'loss': 0.8834, 'learning_rate': 3.920591581342435e-05, 'epoch': 51.99}
{'loss': 0.8765, 'learning_rate': 3.880602957906713e-05, 'epoch': 52.98}
{'loss': 0.8647, 'learning_rate': 3.84061433447099e-05, 'epoch': 53.98}
{'loss': 0.8586, 'learning_rate': 3.800625711035268e-05, 'epoch': 54.98}
{'loss': 0.8516, 'learning_rate': 3.760637087599545e-05, 'epoch': 55.98}
{'loss': 0.8438, 'learning_rate': 3.7206484641638225e-05, 'epoch': 56.98}
{'loss': 0.8373, 'learning_rate': 3.6806598407281e-05, 'epoch': 57.98}
{'loss': 0.8293, 'learning_rate': 3.640671217292377e-05, 'epoch': 58.98}
{'loss': 0.8229, 'learning_rate': 3.600682593856655e-05, 'epoch': 59.98}
{'loss': 0.8126, 'learning_rate': 3.560693970420933e-05, 'epoch': 60.98}
{'loss': 0.8042, 'learning_rate': 3.5207053469852105e-05, 'epoch': 61.98}
{'loss': 0.7946, 'learning_rate': 3.480716723549488e-05, 'epoch': 62.98}
{'loss': 0.7874, 'learning_rate': 3.440728100113766e-05, 'epoch': 63.98}
{'loss': 0.78, 'learning_rate': 3.400739476678043e-05, 'epoch': 64.98}
{'loss': 0.7762, 'learning_rate': 3.360750853242321e-05, 'epoch': 65.98}
{'loss': 0.7677, 'learning_rate': 3.3207622298065985e-05, 'epoch': 66.98}
{'loss': 0.7612, 'learning_rate': 3.280773606370876e-05, 'epoch': 67.98}
{'loss': 0.7547, 'learning_rate': 3.240784982935154e-05, 'epoch': 68.98}
{'loss': 0.75, 'learning_rate': 3.200796359499431e-05, 'epoch': 69.98}
{'loss': 0.7407, 'learning_rate': 3.160807736063709e-05, 'epoch': 70.98}
{'loss': 0.7298, 'learning_rate': 3.1208191126279865e-05, 'epoch': 71.98}
{'loss': 0.7296, 'learning_rate': 3.080830489192264e-05, 'epoch': 72.98}
{'loss': 0.7204, 'learning_rate': 3.0408418657565417e-05, 'epoch': 73.98}
{'loss': 0.7159, 'learning_rate': 3.0008532423208194e-05, 'epoch': 74.98}
{'loss': 0.7067, 'learning_rate': 2.9608646188850968e-05, 'epoch': 75.98}
{'loss': 0.7044, 'learning_rate': 2.9208759954493742e-05, 'epoch': 76.98}
{'loss': 0.6987, 'learning_rate': 2.880887372013652e-05, 'epoch': 77.98}
{'loss': 0.6874, 'learning_rate': 2.8408987485779297e-05, 'epoch': 78.98}
{'loss': 0.6872, 'learning_rate': 2.800910125142207e-05, 'epoch': 79.98}
{'loss': 0.6787, 'learning_rate': 2.760921501706485e-05, 'epoch': 80.98}
{'loss': 0.6729, 'learning_rate': 2.7209328782707626e-05, 'epoch': 81.98}
{'loss': 0.6654, 'learning_rate': 2.6809442548350396e-05, 'epoch': 82.98}
{'loss': 0.6586, 'learning_rate': 2.6409556313993174e-05, 'epoch': 83.98}
{'loss': 0.6577, 'learning_rate': 2.600967007963595e-05, 'epoch': 84.98}
{'loss': 0.6492, 'learning_rate': 2.5609783845278725e-05, 'epoch': 85.98}
{'loss': 0.6483, 'learning_rate': 2.5209897610921503e-05, 'epoch': 86.98}
{'loss': 0.6387, 'learning_rate': 2.4810011376564277e-05, 'epoch': 87.97}
{'loss': 0.6319, 'learning_rate': 2.4410125142207054e-05, 'epoch': 88.97}
{'loss': 0.631, 'learning_rate': 2.401023890784983e-05, 'epoch': 89.97}
{'loss': 0.6257, 'learning_rate': 2.3610352673492605e-05, 'epoch': 90.97}
{'loss': 0.6164, 'learning_rate': 2.3210466439135383e-05, 'epoch': 91.97}
{'loss': 0.6122, 'learning_rate': 2.281058020477816e-05, 'epoch': 92.97}
{'loss': 0.6072, 'learning_rate': 2.241069397042093e-05, 'epoch': 93.97}
{'loss': 0.6006, 'learning_rate': 2.2010807736063708e-05, 'epoch': 94.97}
{'loss': 0.5981, 'learning_rate': 2.1610921501706486e-05, 'epoch': 95.97}
{'loss': 0.5946, 'learning_rate': 2.121103526734926e-05, 'epoch': 96.97}
{'loss': 0.5867, 'learning_rate': 2.0811149032992037e-05, 'epoch': 97.97}
{'loss': 0.58, 'learning_rate': 2.0411262798634814e-05, 'epoch': 98.97}
{'loss': 0.5764, 'learning_rate': 2.001137656427759e-05, 'epoch': 99.97}
{'loss': 0.5724, 'learning_rate': 1.9611490329920366e-05, 'epoch': 100.97}
{'loss': 0.5679, 'learning_rate': 1.921160409556314e-05, 'epoch': 101.97}
{'loss': 0.5635, 'learning_rate': 1.8811717861205917e-05, 'epoch': 102.97}
{'loss': 0.5583, 'learning_rate': 1.8411831626848695e-05, 'epoch': 103.97}
{'loss': 0.5556, 'learning_rate': 1.8011945392491465e-05, 'epoch': 104.97}
{'loss': 0.5538, 'learning_rate': 1.7612059158134243e-05, 'epoch': 105.97}
{'loss': 0.5463, 'learning_rate': 1.721217292377702e-05, 'epoch': 106.97}
{'loss': 0.5414, 'learning_rate': 1.6812286689419794e-05, 'epoch': 107.97}
{'loss': 0.5382, 'learning_rate': 1.641240045506257e-05, 'epoch': 108.97}
{'loss': 0.5373, 'learning_rate': 1.601251422070535e-05, 'epoch': 109.97}
{'loss': 0.5284, 'learning_rate': 1.5612627986348123e-05, 'epoch': 110.97}
{'loss': 0.5257, 'learning_rate': 1.52127417519909e-05, 'epoch': 111.97}
{'loss': 0.5214, 'learning_rate': 1.4812855517633674e-05, 'epoch': 112.97}
{'loss': 0.5203, 'learning_rate': 1.441296928327645e-05, 'epoch': 113.97}
{'loss': 0.5157, 'learning_rate': 1.4013083048919227e-05, 'epoch': 114.97}
{'loss': 0.5119, 'learning_rate': 1.3613196814562003e-05, 'epoch': 115.97}
{'loss': 0.5056, 'learning_rate': 1.3213310580204779e-05, 'epoch': 116.97}
{'loss': 0.5, 'learning_rate': 1.2813424345847554e-05, 'epoch': 117.97}
